policy_id,gender,living_status,age,safty_rating,high_education_ind
policy_2,M,own,44,85,FALSE
policy_2,M,own,44,63,TRUE
policy_3,M,own,65,56,TRUE
policy_5,M,rent,60,74,TRUE
policy_5,F,dependent,20,30,FALSE
policy_5,F,dependent,16,29,FALSE
policy_6,M,own,58,73,FALSE
policy_6,M,dependent,17,74,FALSE
policy_6,M,dependent,18,73,FALSE
policy_11,F,rent,50,92,FALSE
policy_15,M,own,46,46,FALSE
policy_15,F,own,66,84,FALSE
policy_16,F,rent,38,55,TRUE
policy_16,F,dependent,18,57,FALSE
policy_17,M,own,44,76,FALSE
policy_18,M,own,54,73,TRUE
policy_19,M,own,59,91,TRUE
policy_19,M,dependent,17,65,FALSE
policy_19,M,dependent,16,65,FALSE
policy_20,M,own,61,95,TRUE
policy_20,F,own,73,64,TRUE
policy_20,F,dependent,17,82,FALSE
policy_21,M,rent,45,70,FALSE
policy_21,F,rent,94,65,TRUE
policy_21,F,dependent,19,60,FALSE
policy_21,M,dependent,16,47,FALSE
policy_21,F,dependent,18,44,FALSE
policy_26,M,own,71,45,FALSE
policy_26,F,dependent,16,70,FALSE
policy_26,F,dependent,18,76,FALSE
policy_27,M,rent,62,92,FALSE
policy_27,F,rent,40,74,TRUE
policy_28,M,own,46,83,TRUE
policy_28,F,dependent,18,61,FALSE
policy_32,F,rent,48,62,TRUE
policy_34,M,own,47,54,TRUE
policy_35,M,own,53,84,FALSE
policy_35,M,own,46,49,FALSE
policy_37,M,own,31,71,FALSE
policy_37,M,own,46,70,TRUE
policy_37,F,dependent,20,77,FALSE
policy_40,M,rent,61,83,TRUE
policy_40,F,rent,60,87,FALSE
policy_40,F,dependent,18,71,FALSE
policy_40,F,dependent,17,79,FALSE
policy_41,F,dependent,17,38,FALSE
policy_42,M,own,56,62,TRUE
policy_44,M,rent,70,80,TRUE
policy_44,F,dependent,16,70,FALSE
policy_47,F,dependent,17,74,FALSE
policy_48,F,rent,54,54,TRUE
policy_49,M,own,34,83,FALSE
policy_49,F,own,57,74,TRUE
