"convert_ind","discount","Home_policy_ind","quoted_amt","credit_score","number_drivers","num_loaned_veh","num_owned_veh","num_leased_veh","total_number_veh","Carrier1","Carrier2","Carrier3","Carrier4","Carrier5","Carrier6","Carrier7","Carrier8","Package_high","Package_medium","Package_low","Catzone1","Catzone2","Catzone3","Catzone4","Catzone5","Parking_home","Parking_garage","Parking_street","mean_gender","act_num_drivers","num_liv_own","num_liv_dep","num_liv_rent","mean_age","mean_safe","mean_edu","act_num_leased_veh","act_num_loaned_veh","act_num_owned_veh","act_num_veh","mean_car_age","cv_index"
1,0,0,4100,569,1,2,3,0,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,44,71,0,0,2,1,3,4.33333333333333,1
1,0,0,4077,707,1,2,1,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,69,78,1,1,0,1,2,3,1
1,0,0,5157,629,2,1,3,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,2,0,0,54,60,0,0,2,1,3,4.66666666666667,1
1,0,0,3636,571,3,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,35.3333333333333,64.3333333333333,0.333333333333333,1,1,1,3,5.33333333333333,1
1,1,1,685,759,2,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,50,65.5,0.5,0,2,1,3,3.66666666666667,1
1,0,0,6134,550,2,3,3,1,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,2,2,0,0,63,69.5,1,0,3,1,4,4.25,1
1,0,0,918,771,1,1,3,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,35,82,1,0,2,1,3,6,1
1,0,0,4387,675,1,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,43,79,0,0,1,1,2,5,1
1,0,0,41977,680,3,1,3,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.333333333333333,3,2,1,0,36.6666666666667,82.6666666666667,0,1,2,1,4,5,1
1,1,1,2465,619,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,2,1,1,0,48,72,0.5,0,2,2,4,6,1
